Sprint Day,Shift,Nurse,Doctor,Admin
Monday,Night,1,1,0
Monday,Morning,3,2,3
Monday,Evening,3,0,2
Tuesday,Night,0,2,2
Tuesday,Morning,2,0,0
Tuesday,Evening,3,0,1
Wednesday,Night,3,1,1
Wednesday,Morning,3,2,0
Wednesday,Evening,3,3,2
Thursday,Night,2,0,2
Thursday,Morning,2,1,0
Thursday,Evening,2,1,3
Friday,Night,3,2,0
Friday,Morning,2,0,3
Friday,Evening,3,1,2
Saturday,Night,0,1,3
Saturday,Morning,1,1,1
Saturday,Evening,3,2,3
Sunday,Night,2,2,1
Sunday,Morning,3,0,2
Sunday,Evening,2,3,1
Next Monday,Night,0,1,2
Next Monday,Morning,1,3,3
Next Monday,Evening,3,3,0
Next Tuesday,Night,1,1,2
Next Tuesday,Morning,0,1,0
Next Tuesday,Evening,1,2,1
Next Wednesday,Night,3,3,0
Next Wednesday,Morning,1,2,2
Next Wednesday,Evening,0,0,2
Next Thursday,Night,0,3,3
Next Thursday,Morning,3,2,3
Next Thursday,Evening,3,2,1
Next Friday,Night,1,0,2
Next Friday,Morning,2,3,3
Next Friday,Evening,3,0,3
Next Saturday,Night,3,1,3
Next Saturday,Morning,2,0,2
Next Saturday,Evening,1,3,2
Next Sunday,Night,1,0,2
Next Sunday,Morning,3,2,3
Next Sunday,Evening,3,0,2
