Sprint Day,Shift,Nurse,Doctor,Admin
Monday,Night,1,3,2
Monday,Morning,3,0,2
Monday,Evening,0,1,3
Tuesday,Night,3,1,2
Tuesday,Morning,2,0,3
Tuesday,Evening,3,2,1
Wednesday,Night,0,2,3
Wednesday,Morning,3,3,1
Wednesday,Evening,1,3,0
Thursday,Night,0,2,3
Thursday,Morning,0,2,2
Thursday,Evening,1,0,1
Friday,Night,3,3,0
Friday,Morning,1,1,1
Friday,Evening,1,0,2
Saturday,Night,2,1,0
Saturday,Morning,3,1,2
Saturday,Evening,0,0,1
Sunday,Night,1,1,0
Sunday,Morning,0,1,0
Sunday,Evening,0,1,0
Next Monday,Night,3,2,2
Next Monday,Morning,0,3,3
Next Monday,Evening,3,0,1
Next Tuesday,Night,3,1,0
Next Tuesday,Morning,1,0,3
Next Tuesday,Evening,1,3,2
Next Wednesday,Night,1,2,3
Next Wednesday,Morning,2,0,0
Next Wednesday,Evening,2,1,2
Next Thursday,Night,2,3,0
Next Thursday,Morning,1,0,1
Next Thursday,Evening,0,1,0
Next Friday,Night,3,3,3
Next Friday,Morning,0,2,1
Next Friday,Evening,0,3,0
Next Saturday,Night,0,2,3
Next Saturday,Morning,0,2,3
Next Saturday,Evening,1,1,0
Next Sunday,Night,2,3,3
Next Sunday,Morning,0,0,3
Next Sunday,Evening,1,1,3
