Sprint Day,Shift,Nurse,Doctor,Admin
Monday,Night,2,0,0
Monday,Morning,0,2,3
Monday,Evening,2,0,0
Tuesday,Night,1,1,1
Tuesday,Morning,0,0,2
Tuesday,Evening,1,0,3
Wednesday,Night,1,1,1
Wednesday,Morning,3,3,2
Wednesday,Evening,1,0,3
Thursday,Night,3,0,1
Thursday,Morning,2,0,3
Thursday,Evening,0,0,1
Friday,Night,0,1,3
Friday,Morning,3,3,0
Friday,Evening,0,3,2
Saturday,Night,3,2,2
Saturday,Morning,0,2,0
Saturday,Evening,2,1,3
Sunday,Night,1,2,0
Sunday,Morning,2,1,3
Sunday,Evening,0,1,1
Next Monday,Night,0,1,1
Next Monday,Morning,0,1,2
Next Monday,Evening,1,3,1
Next Tuesday,Night,2,2,1
Next Tuesday,Morning,0,1,2
Next Tuesday,Evening,2,2,2
Next Wednesday,Night,2,1,2
Next Wednesday,Morning,1,2,0
Next Wednesday,Evening,3,1,0
Next Thursday,Night,0,3,2
Next Thursday,Morning,0,1,1
Next Thursday,Evening,1,3,3
Next Friday,Night,0,3,3
Next Friday,Morning,2,1,2
Next Friday,Evening,1,2,2
Next Saturday,Night,1,2,0
Next Saturday,Morning,0,1,2
Next Saturday,Evening,2,3,1
Next Sunday,Night,3,2,3
Next Sunday,Morning,3,3,2
Next Sunday,Evening,2,3,1
