Sprint Day,Shift,Nurse,Doctor,Admin
Monday,Night,3,1,2
Monday,Morning,3,1,1
Monday,Evening,3,3,0
Tuesday,Night,2,3,2
Tuesday,Morning,0,2,2
Tuesday,Evening,2,0,2
Wednesday,Night,3,3,1
Wednesday,Morning,2,3,2
Wednesday,Evening,0,2,2
Thursday,Night,1,1,1
Thursday,Morning,3,2,0
Thursday,Evening,1,0,3
Friday,Night,3,0,2
Friday,Morning,0,2,3
Friday,Evening,1,1,0
Saturday,Night,1,0,0
Saturday,Morning,1,1,3
Saturday,Evening,0,3,0
Sunday,Night,1,1,3
Sunday,Morning,1,0,1
Sunday,Evening,1,3,2
Next Monday,Night,0,1,3
Next Monday,Morning,0,3,2
Next Monday,Evening,2,1,3
Next Tuesday,Night,2,2,1
Next Tuesday,Morning,2,2,3
Next Tuesday,Evening,2,1,2
Next Wednesday,Night,3,3,1
Next Wednesday,Morning,3,1,0
Next Wednesday,Evening,2,2,3
Next Thursday,Night,0,3,3
Next Thursday,Morning,2,1,3
Next Thursday,Evening,1,2,0
Next Friday,Night,1,0,0
Next Friday,Morning,1,0,3
Next Friday,Evening,3,0,2
Next Saturday,Night,1,3,1
Next Saturday,Morning,1,2,1
Next Saturday,Evening,1,3,1
Next Sunday,Night,2,1,2
Next Sunday,Morning,2,0,0
Next Sunday,Evening,2,2,0
