Sprint Day,Shift,Nurse,Doctor,Admin
Monday,Night,2,3,1
Monday,Morning,1,1,0
Monday,Evening,1,0,0
Tuesday,Night,0,3,0
Tuesday,Morning,2,3,3
Tuesday,Evening,3,0,2
Wednesday,Night,3,3,1
Wednesday,Morning,2,1,2
Wednesday,Evening,2,2,0
Thursday,Night,3,3,1
Thursday,Morning,0,0,1
Thursday,Evening,0,1,1
Friday,Night,0,2,1
Friday,Morning,0,2,1
Friday,Evening,3,2,3
Saturday,Night,0,3,3
Saturday,Morning,3,0,2
Saturday,Evening,2,0,0
Sunday,Night,1,0,1
Sunday,Morning,2,1,1
Sunday,Evening,1,0,0
Next Monday,Night,2,3,2
Next Monday,Morning,0,1,1
Next Monday,Evening,2,3,1
Next Tuesday,Night,2,1,3
Next Tuesday,Morning,0,0,1
Next Tuesday,Evening,0,3,0
Next Wednesday,Night,1,3,0
Next Wednesday,Morning,0,0,0
Next Wednesday,Evening,2,3,0
Next Thursday,Night,2,3,3
Next Thursday,Morning,0,1,1
Next Thursday,Evening,0,3,2
Next Friday,Night,0,1,2
Next Friday,Morning,3,1,2
Next Friday,Evening,0,3,2
Next Saturday,Night,0,0,1
Next Saturday,Morning,2,0,3
Next Saturday,Evening,1,0,3
Next Sunday,Night,0,3,1
Next Sunday,Morning,2,3,3
Next Sunday,Evening,0,1,3
