Sprint Day,Shift,Nurse,Doctor,Admin
Monday,Night,2,3,0
Monday,Morning,3,2,3
Monday,Evening,0,0,3
Tuesday,Night,2,2,3
Tuesday,Morning,1,2,3
Tuesday,Evening,1,3,1
Wednesday,Night,0,3,1
Wednesday,Morning,2,2,2
Wednesday,Evening,3,2,0
Thursday,Night,3,3,2
Thursday,Morning,1,2,3
Thursday,Evening,0,0,2
Friday,Night,2,3,0
Friday,Morning,0,1,2
Friday,Evening,0,1,0
Saturday,Night,1,1,3
Saturday,Morning,2,3,2
Saturday,Evening,1,0,0
Sunday,Night,0,0,3
Sunday,Morning,1,1,0
Sunday,Evening,1,1,0
Next Monday,Night,3,0,2
Next Monday,Morning,3,1,1
Next Monday,Evening,0,3,3
Next Tuesday,Night,2,0,2
Next Tuesday,Morning,0,3,1
Next Tuesday,Evening,1,1,2
Next Wednesday,Night,1,2,2
Next Wednesday,Morning,2,2,0
Next Wednesday,Evening,3,0,3
Next Thursday,Night,0,3,3
Next Thursday,Morning,3,1,3
Next Thursday,Evening,3,1,3
Next Friday,Night,3,0,2
Next Friday,Morning,3,3,2
Next Friday,Evening,3,1,2
Next Saturday,Night,2,3,1
Next Saturday,Morning,0,0,0
Next Saturday,Evening,3,3,2
Next Sunday,Night,0,3,1
Next Sunday,Morning,3,0,2
Next Sunday,Evening,1,1,1
