Sprint Day,Shift,Nurse,Doctor,Admin
Monday,Night,3,0,2
Monday,Morning,0,3,1
Monday,Evening,2,1,0
Tuesday,Night,1,3,3
Tuesday,Morning,3,0,2
Tuesday,Evening,0,0,1
Wednesday,Night,2,1,0
Wednesday,Morning,2,0,0
Wednesday,Evening,0,2,0
Thursday,Night,1,2,2
Thursday,Morning,3,0,3
Thursday,Evening,1,1,3
Friday,Night,1,1,1
Friday,Morning,0,1,3
Friday,Evening,2,3,0
Saturday,Night,3,0,1
Saturday,Morning,0,0,2
Saturday,Evening,2,1,1
Sunday,Night,1,2,2
Sunday,Morning,1,2,1
Sunday,Evening,3,2,1
Next Monday,Night,0,0,1
Next Monday,Morning,0,2,1
Next Monday,Evening,3,1,2
Next Tuesday,Night,3,1,0
Next Tuesday,Morning,3,3,1
Next Tuesday,Evening,2,1,2
Next Wednesday,Night,3,1,0
Next Wednesday,Morning,1,3,1
Next Wednesday,Evening,1,2,3
Next Thursday,Night,3,1,2
Next Thursday,Morning,3,1,3
Next Thursday,Evening,2,2,2
Next Friday,Night,2,1,2
Next Friday,Morning,0,0,0
Next Friday,Evening,1,3,0
Next Saturday,Night,1,1,3
Next Saturday,Morning,0,3,1
Next Saturday,Evening,2,1,1
Next Sunday,Night,0,3,3
Next Sunday,Morning,0,2,1
Next Sunday,Evening,3,0,2
