Sprint Day,Shift,Nurse,Doctor,Admin
Monday,Night,3,2,1
Monday,Morning,0,1,3
Monday,Evening,3,1,0
Tuesday,Night,1,2,2
Tuesday,Morning,2,3,2
Tuesday,Evening,0,2,0
Wednesday,Night,2,2,2
Wednesday,Morning,3,2,3
Wednesday,Evening,3,3,2
Thursday,Night,3,2,2
Thursday,Morning,2,0,2
Thursday,Evening,1,2,2
Friday,Night,3,2,2
Friday,Morning,3,3,1
Friday,Evening,0,3,2
Saturday,Night,3,3,2
Saturday,Morning,3,2,3
Saturday,Evening,2,2,3
Sunday,Night,0,0,0
Sunday,Morning,2,0,3
Sunday,Evening,1,2,2
Next Monday,Night,3,1,3
Next Monday,Morning,0,3,2
Next Monday,Evening,1,3,3
Next Tuesday,Night,0,3,3
Next Tuesday,Morning,2,3,1
Next Tuesday,Evening,1,1,0
Next Wednesday,Night,0,2,1
Next Wednesday,Morning,3,2,3
Next Wednesday,Evening,2,0,0
Next Thursday,Night,0,2,2
Next Thursday,Morning,2,0,1
Next Thursday,Evening,3,1,2
Next Friday,Night,0,3,3
Next Friday,Morning,0,0,0
Next Friday,Evening,0,1,2
Next Saturday,Night,1,2,1
Next Saturday,Morning,1,3,0
Next Saturday,Evening,2,1,3
Next Sunday,Night,1,2,2
Next Sunday,Morning,0,3,0
Next Sunday,Evening,2,0,3
