Sprint Day,Shift,Nurse,Doctor,Admin
Monday,Night,3,3,0
Monday,Morning,3,2,0
Monday,Evening,0,3,3
Tuesday,Night,0,1,0
Tuesday,Morning,3,3,1
Tuesday,Evening,2,3,3
Wednesday,Night,2,3,0
Wednesday,Morning,2,2,0
Wednesday,Evening,2,2,3
Thursday,Night,0,3,0
Thursday,Morning,0,1,3
Thursday,Evening,1,0,0
Friday,Night,0,2,1
Friday,Morning,1,1,2
Friday,Evening,0,0,2
Saturday,Night,0,3,2
Saturday,Morning,2,0,1
Saturday,Evening,1,0,1
Sunday,Night,0,3,1
Sunday,Morning,1,3,1
Sunday,Evening,2,0,1
Next Monday,Night,0,1,2
Next Monday,Morning,3,1,1
Next Monday,Evening,1,0,0
Next Tuesday,Night,2,3,3
Next Tuesday,Morning,0,1,0
Next Tuesday,Evening,2,2,0
Next Wednesday,Night,0,1,0
Next Wednesday,Morning,3,3,1
Next Wednesday,Evening,2,3,3
Next Thursday,Night,3,3,0
Next Thursday,Morning,2,0,3
Next Thursday,Evening,3,3,1
Next Friday,Night,2,0,2
Next Friday,Morning,2,2,3
Next Friday,Evening,3,1,1
Next Saturday,Night,3,2,1
Next Saturday,Morning,1,0,2
Next Saturday,Evening,2,1,1
Next Sunday,Night,1,2,2
Next Sunday,Morning,3,2,0
Next Sunday,Evening,2,1,0
