Sprint Day,Shift,Nurse,Doctor,Admin
Monday,Night,1,0,0
Monday,Morning,1,1,0
Monday,Evening,0,0,1
Tuesday,Night,0,0,1
Tuesday,Morning,0,0,1
Tuesday,Evening,1,1,1
Wednesday,Night,1,1,1
Wednesday,Morning,0,1,0
Wednesday,Evening,1,0,0
Thursday,Night,1,0,0
Thursday,Morning,0,1,1
Thursday,Evening,0,0,0
Friday,Night,1,1,0
Friday,Morning,1,1,1
Friday,Evening,1,0,1
Saturday,Night,1,0,1
Saturday,Morning,1,1,1
Saturday,Evening,1,1,0
Sunday,Night,1,0,1
Sunday,Morning,0,1,1
Sunday,Evening,1,1,0
Next Monday,Night,1,0,1
Next Monday,Morning,1,0,1
Next Monday,Evening,1,0,0
Next Tuesday,Night,1,1,0
Next Tuesday,Morning,1,1,1
Next Tuesday,Evening,0,1,1
Next Wednesday,Night,0,0,1
Next Wednesday,Morning,0,0,0
Next Wednesday,Evening,1,0,1
Next Thursday,Night,0,0,1
Next Thursday,Morning,1,1,0
Next Thursday,Evening,1,0,0
Next Friday,Night,1,0,1
Next Friday,Morning,0,1,0
Next Friday,Evening,0,0,1
Next Saturday,Night,1,1,0
Next Saturday,Morning,1,1,0
Next Saturday,Evening,0,0,1
Next Sunday,Night,1,0,1
Next Sunday,Morning,1,0,1
Next Sunday,Evening,0,0,0
