Sprint Day,Shift,Nurse,Doctor,Admin
Monday,Night,1,1,0
Monday,Morning,0,2,1
Monday,Evening,2,3,2
Tuesday,Night,2,1,2
Tuesday,Morning,0,1,3
Tuesday,Evening,0,0,0
Wednesday,Night,2,1,3
Wednesday,Morning,0,2,2
Wednesday,Evening,0,2,0
Thursday,Night,3,3,2
Thursday,Morning,3,3,3
Thursday,Evening,1,0,1
Friday,Night,2,2,2
Friday,Morning,1,3,3
Friday,Evening,2,0,0
Saturday,Night,0,3,2
Saturday,Morning,1,2,2
Saturday,Evening,2,2,1
Sunday,Night,1,2,3
Sunday,Morning,2,2,1
Sunday,Evening,0,1,2
Next Monday,Night,0,3,1
Next Monday,Morning,0,1,2
Next Monday,Evening,3,1,3
Next Tuesday,Night,3,3,1
Next Tuesday,Morning,0,0,2
Next Tuesday,Evening,0,3,0
Next Wednesday,Night,1,0,1
Next Wednesday,Morning,0,0,1
Next Wednesday,Evening,2,0,2
Next Thursday,Night,1,0,2
Next Thursday,Morning,0,1,1
Next Thursday,Evening,3,3,3
Next Friday,Night,2,1,3
Next Friday,Morning,3,3,1
Next Friday,Evening,1,2,1
Next Saturday,Night,0,1,0
Next Saturday,Morning,1,3,2
Next Saturday,Evening,1,3,3
Next Sunday,Night,1,2,0
Next Sunday,Morning,2,0,1
Next Sunday,Evening,3,3,3
