Sprint Day,Shift,Nurse,Doctor,Admin
Monday,Night,0,0,0
Monday,Morning,0,3,3
Monday,Evening,2,2,3
Tuesday,Night,3,3,3
Tuesday,Morning,1,3,3
Tuesday,Evening,0,3,3
Wednesday,Night,3,2,0
Wednesday,Morning,2,2,2
Wednesday,Evening,2,1,3
Thursday,Night,1,2,2
Thursday,Morning,3,0,3
Thursday,Evening,0,0,0
Friday,Night,2,1,1
Friday,Morning,0,3,2
Friday,Evening,0,0,2
Saturday,Night,0,3,2
Saturday,Morning,0,1,1
Saturday,Evening,1,1,3
Sunday,Night,0,0,2
Sunday,Morning,0,2,1
Sunday,Evening,1,3,3
Next Monday,Night,3,1,2
Next Monday,Morning,1,0,0
Next Monday,Evening,3,0,3
Next Tuesday,Night,0,2,2
Next Tuesday,Morning,3,3,0
Next Tuesday,Evening,0,1,2
Next Wednesday,Night,3,2,2
Next Wednesday,Morning,3,2,1
Next Wednesday,Evening,1,0,3
Next Thursday,Night,3,1,2
Next Thursday,Morning,3,1,1
Next Thursday,Evening,3,0,2
Next Friday,Night,0,2,0
Next Friday,Morning,3,0,2
Next Friday,Evening,0,0,2
Next Saturday,Night,2,2,1
Next Saturday,Morning,3,3,3
Next Saturday,Evening,1,3,3
Next Sunday,Night,2,1,1
Next Sunday,Morning,2,1,1
Next Sunday,Evening,3,2,2
