Sprint Day,Shift,Nurse,Doctor,Admin
Monday,Night,2,0,2
Monday,Morning,2,0,3
Monday,Evening,0,3,0
Tuesday,Night,3,0,0
Tuesday,Morning,0,0,0
Tuesday,Evening,2,0,3
Wednesday,Night,1,2,0
Wednesday,Morning,0,0,0
Wednesday,Evening,3,1,3
Thursday,Night,2,3,0
Thursday,Morning,0,3,3
Thursday,Evening,1,1,0
Friday,Night,2,1,3
Friday,Morning,1,1,2
Friday,Evening,1,2,2
Saturday,Night,0,3,1
Saturday,Morning,3,0,2
Saturday,Evening,3,2,3
Sunday,Night,0,1,1
Sunday,Morning,1,3,2
Sunday,Evening,1,2,2
Next Monday,Night,3,3,0
Next Monday,Morning,3,2,1
Next Monday,Evening,1,0,2
Next Tuesday,Night,2,1,2
Next Tuesday,Morning,1,0,1
Next Tuesday,Evening,1,3,0
Next Wednesday,Night,2,2,3
Next Wednesday,Morning,0,1,3
Next Wednesday,Evening,2,1,1
Next Thursday,Night,1,2,2
Next Thursday,Morning,2,0,3
Next Thursday,Evening,0,0,2
Next Friday,Night,2,3,2
Next Friday,Morning,0,1,2
Next Friday,Evening,1,3,0
Next Saturday,Night,1,1,2
Next Saturday,Morning,1,0,0
Next Saturday,Evening,1,1,2
Next Sunday,Night,1,2,2
Next Sunday,Morning,0,2,3
Next Sunday,Evening,3,1,0
