Sprint Day,Shift,Nurse,Doctor,Admin
Monday,Night,1,2,3
Monday,Morning,0,0,3
Monday,Evening,2,0,1
Tuesday,Night,1,1,2
Tuesday,Morning,2,0,0
Tuesday,Evening,0,0,3
Wednesday,Night,2,3,1
Wednesday,Morning,2,0,3
Wednesday,Evening,0,3,1
Thursday,Night,2,1,0
Thursday,Morning,3,3,3
Thursday,Evening,2,3,3
Friday,Night,1,1,2
Friday,Morning,2,3,1
Friday,Evening,1,3,3
Saturday,Night,2,2,2
Saturday,Morning,0,1,2
Saturday,Evening,0,1,3
Sunday,Night,0,2,2
Sunday,Morning,3,3,2
Sunday,Evening,1,0,3
Next Monday,Night,3,1,2
Next Monday,Morning,0,2,2
Next Monday,Evening,0,1,0
Next Tuesday,Night,3,2,2
Next Tuesday,Morning,0,2,2
Next Tuesday,Evening,1,0,3
Next Wednesday,Night,2,3,3
Next Wednesday,Morning,2,3,3
Next Wednesday,Evening,1,2,2
Next Thursday,Night,1,2,0
Next Thursday,Morning,3,2,1
Next Thursday,Evening,1,3,0
Next Friday,Night,3,3,3
Next Friday,Morning,3,2,2
Next Friday,Evening,1,1,2
Next Saturday,Night,2,3,1
Next Saturday,Morning,0,2,1
Next Saturday,Evening,0,1,1
Next Sunday,Night,3,3,3
Next Sunday,Morning,1,2,2
Next Sunday,Evening,0,3,3
