Sprint Day,Shift,Nurse,Doctor,Admin
Monday,Night,3,3,2
Monday,Morning,0,1,0
Monday,Evening,1,1,3
Tuesday,Night,3,0,3
Tuesday,Morning,1,3,0
Tuesday,Evening,2,1,1
Wednesday,Night,0,3,0
Wednesday,Morning,0,3,3
Wednesday,Evening,2,2,3
Thursday,Night,0,2,0
Thursday,Morning,0,1,3
Thursday,Evening,2,3,1
Friday,Night,2,2,3
Friday,Morning,3,0,2
Friday,Evening,3,2,2
Saturday,Night,1,3,2
Saturday,Morning,2,1,0
Saturday,Evening,1,0,1
Sunday,Night,0,0,0
Sunday,Morning,2,0,3
Sunday,Evening,0,0,1
Next Monday,Night,2,2,2
Next Monday,Morning,3,1,2
Next Monday,Evening,0,0,0
Next Tuesday,Night,1,3,2
Next Tuesday,Morning,3,0,0
Next Tuesday,Evening,0,3,1
Next Wednesday,Night,3,3,3
Next Wednesday,Morning,1,1,3
Next Wednesday,Evening,3,0,2
Next Thursday,Night,0,1,2
Next Thursday,Morning,3,0,0
Next Thursday,Evening,0,2,2
Next Friday,Night,1,1,1
Next Friday,Morning,3,1,0
Next Friday,Evening,1,0,3
Next Saturday,Night,3,3,1
Next Saturday,Morning,3,3,1
Next Saturday,Evening,3,3,2
Next Sunday,Night,0,3,0
Next Sunday,Morning,2,0,3
Next Sunday,Evening,3,1,0
