Sprint Day,Shift,Nurse,Doctor,Admin
Monday,Night,2,1,1
Monday,Morning,0,0,1
Monday,Evening,2,1,0
Tuesday,Night,1,1,0
Tuesday,Morning,1,1,0
Tuesday,Evening,1,1,2
Wednesday,Night,0,1,1
Wednesday,Morning,1,1,1
Wednesday,Evening,0,2,0
Thursday,Night,0,2,1
Thursday,Morning,0,1,0
Thursday,Evening,1,0,2
Friday,Night,1,2,1
Friday,Morning,1,1,0
Friday,Evening,0,0,1
Saturday,Night,0,2,0
Saturday,Morning,2,1,0
Saturday,Evening,2,1,0
Sunday,Night,0,0,2
Sunday,Morning,0,2,1
Sunday,Evening,1,2,0
Next Monday,Night,1,1,1
Next Monday,Morning,1,0,0
Next Monday,Evening,2,0,2
Next Tuesday,Night,1,0,1
Next Tuesday,Morning,1,1,2
Next Tuesday,Evening,1,1,0
Next Wednesday,Night,1,0,2
Next Wednesday,Morning,0,0,2
Next Wednesday,Evening,2,2,0
Next Thursday,Night,2,0,2
Next Thursday,Morning,2,1,1
Next Thursday,Evening,0,1,0
Next Friday,Night,1,0,1
Next Friday,Morning,2,1,0
Next Friday,Evening,2,1,2
Next Saturday,Night,1,2,1
Next Saturday,Morning,1,1,2
Next Saturday,Evening,1,1,0
Next Sunday,Night,1,1,0
Next Sunday,Morning,2,0,0
Next Sunday,Evening,2,2,0
