Sprint Day,Shift,Nurse,Doctor,Admin
Monday,Night,0,0,2
Monday,Morning,1,1,0
Monday,Evening,0,1,0
Tuesday,Night,1,2,1
Tuesday,Morning,2,2,2
Tuesday,Evening,1,1,2
Wednesday,Night,1,2,1
Wednesday,Morning,2,1,1
Wednesday,Evening,0,1,0
Thursday,Night,2,1,0
Thursday,Morning,2,1,1
Thursday,Evening,1,2,2
Friday,Night,1,0,2
Friday,Morning,1,2,0
Friday,Evening,1,2,0
Saturday,Night,2,1,0
Saturday,Morning,0,2,0
Saturday,Evening,0,2,2
Sunday,Night,1,0,2
Sunday,Morning,2,0,2
Sunday,Evening,2,2,0
Next Monday,Night,2,1,1
Next Monday,Morning,0,2,1
Next Monday,Evening,1,2,1
Next Tuesday,Night,2,1,1
Next Tuesday,Morning,1,0,2
Next Tuesday,Evening,1,1,2
Next Wednesday,Night,0,2,0
Next Wednesday,Morning,0,0,1
Next Wednesday,Evening,2,0,0
Next Thursday,Night,2,1,2
Next Thursday,Morning,1,0,2
Next Thursday,Evening,2,1,1
Next Friday,Night,0,2,0
Next Friday,Morning,1,1,2
Next Friday,Evening,0,0,2
Next Saturday,Night,0,0,2
Next Saturday,Morning,2,1,1
Next Saturday,Evening,0,0,2
Next Sunday,Night,1,0,0
Next Sunday,Morning,0,0,0
Next Sunday,Evening,1,0,2
