Sprint Day,Shift,Nurse,Doctor,Admin
Monday,Night,2,3,0
Monday,Morning,3,1,1
Monday,Evening,3,2,0
Tuesday,Night,2,0,2
Tuesday,Morning,2,1,0
Tuesday,Evening,3,1,0
Wednesday,Night,1,3,0
Wednesday,Morning,3,3,1
Wednesday,Evening,2,0,0
Thursday,Night,1,0,1
Thursday,Morning,0,1,0
Thursday,Evening,0,1,1
Friday,Night,0,1,0
Friday,Morning,2,0,0
Friday,Evening,1,2,1
Saturday,Night,0,0,3
Saturday,Morning,0,0,0
Saturday,Evening,1,2,1
Sunday,Night,1,0,0
Sunday,Morning,0,1,3
Sunday,Evening,0,0,3
Next Monday,Night,3,1,0
Next Monday,Morning,0,0,3
Next Monday,Evening,3,2,2
Next Tuesday,Night,2,0,0
Next Tuesday,Morning,0,2,3
Next Tuesday,Evening,0,1,0
Next Wednesday,Night,1,0,2
Next Wednesday,Morning,1,1,0
Next Wednesday,Evening,0,3,0
Next Thursday,Night,3,2,1
Next Thursday,Morning,1,1,3
Next Thursday,Evening,3,3,1
Next Friday,Night,2,1,3
Next Friday,Morning,1,0,0
Next Friday,Evening,3,2,0
Next Saturday,Night,2,3,3
Next Saturday,Morning,1,3,1
Next Saturday,Evening,1,1,1
Next Sunday,Night,0,3,3
Next Sunday,Morning,3,2,3
Next Sunday,Evening,2,2,0
