Sprint Day,Shift,Nurse,Doctor,Admin
Monday,Night,1,2,0
Monday,Morning,0,2,1
Monday,Evening,3,0,0
Tuesday,Night,1,2,3
Tuesday,Morning,2,3,1
Tuesday,Evening,2,3,3
Wednesday,Night,2,3,0
Wednesday,Morning,2,0,1
Wednesday,Evening,1,3,0
Thursday,Night,0,3,1
Thursday,Morning,2,2,1
Thursday,Evening,0,3,3
Friday,Night,2,0,3
Friday,Morning,0,0,2
Friday,Evening,3,2,1
Saturday,Night,3,1,1
Saturday,Morning,0,0,3
Saturday,Evening,2,2,0
Sunday,Night,3,1,2
Sunday,Morning,0,3,2
Sunday,Evening,0,2,2
Next Monday,Night,0,2,3
Next Monday,Morning,1,3,1
Next Monday,Evening,2,3,3
Next Tuesday,Night,2,0,2
Next Tuesday,Morning,3,1,2
Next Tuesday,Evening,3,1,0
Next Wednesday,Night,2,1,2
Next Wednesday,Morning,2,1,1
Next Wednesday,Evening,3,1,3
Next Thursday,Night,2,0,0
Next Thursday,Morning,2,1,3
Next Thursday,Evening,0,0,2
Next Friday,Night,1,1,0
Next Friday,Morning,2,3,1
Next Friday,Evening,0,3,2
Next Saturday,Night,1,2,0
Next Saturday,Morning,1,2,2
Next Saturday,Evening,1,1,1
Next Sunday,Night,3,2,1
Next Sunday,Morning,3,2,2
Next Sunday,Evening,3,3,3
