Sprint Day,Shift,Nurse,Doctor,Admin
Monday,Night,0,1,3
Monday,Morning,1,2,0
Monday,Evening,1,1,1
Tuesday,Night,2,3,3
Tuesday,Morning,3,2,0
Tuesday,Evening,2,3,3
Wednesday,Night,2,2,2
Wednesday,Morning,1,1,2
Wednesday,Evening,3,2,1
Thursday,Night,3,3,0
Thursday,Morning,1,3,1
Thursday,Evening,0,0,0
Friday,Night,2,1,2
Friday,Morning,0,0,0
Friday,Evening,2,0,3
Saturday,Night,2,2,0
Saturday,Morning,1,3,0
Saturday,Evening,1,0,1
Sunday,Night,2,2,1
Sunday,Morning,2,3,2
Sunday,Evening,3,0,3
Next Monday,Night,1,0,1
Next Monday,Morning,0,2,2
Next Monday,Evening,3,0,3
Next Tuesday,Night,2,0,2
Next Tuesday,Morning,3,0,2
Next Tuesday,Evening,2,3,3
Next Wednesday,Night,0,2,0
Next Wednesday,Morning,3,1,2
Next Wednesday,Evening,1,2,2
Next Thursday,Night,1,2,0
Next Thursday,Morning,1,2,1
Next Thursday,Evening,0,1,0
Next Friday,Night,3,3,1
Next Friday,Morning,3,0,3
Next Friday,Evening,3,3,3
Next Saturday,Night,0,3,2
Next Saturday,Morning,2,0,3
Next Saturday,Evening,0,1,2
Next Sunday,Night,0,0,0
Next Sunday,Morning,0,2,2
Next Sunday,Evening,3,3,1
