Sprint Day,Shift,Nurse,Doctor,Admin
Monday,Night,3,3,3
Monday,Morning,0,3,1
Monday,Evening,0,0,2
Tuesday,Night,0,1,1
Tuesday,Morning,0,2,3
Tuesday,Evening,2,2,3
Wednesday,Night,2,3,2
Wednesday,Morning,3,3,0
Wednesday,Evening,3,2,1
Thursday,Night,1,2,3
Thursday,Morning,1,2,0
Thursday,Evening,1,0,2
Friday,Night,3,0,1
Friday,Morning,0,1,3
Friday,Evening,3,1,2
Saturday,Night,2,3,2
Saturday,Morning,0,2,2
Saturday,Evening,0,2,2
Sunday,Night,3,2,0
Sunday,Morning,1,3,1
Sunday,Evening,0,0,3
Next Monday,Night,2,0,0
Next Monday,Morning,0,3,1
Next Monday,Evening,1,3,1
Next Tuesday,Night,2,0,2
Next Tuesday,Morning,0,0,0
Next Tuesday,Evening,0,2,0
Next Wednesday,Night,2,0,1
Next Wednesday,Morning,3,3,3
Next Wednesday,Evening,3,0,0
Next Thursday,Night,2,1,2
Next Thursday,Morning,0,3,2
Next Thursday,Evening,2,2,2
Next Friday,Night,0,0,1
Next Friday,Morning,2,3,0
Next Friday,Evening,0,1,2
Next Saturday,Night,0,3,1
Next Saturday,Morning,3,2,1
Next Saturday,Evening,1,0,1
Next Sunday,Night,2,1,2
Next Sunday,Morning,1,3,1
Next Sunday,Evening,1,3,3
