Sprint Day,Shift,Nurse,Doctor,Admin
Monday,Night,0,3,3
Monday,Morning,1,1,3
Monday,Evening,1,2,3
Tuesday,Night,3,3,3
Tuesday,Morning,2,0,3
Tuesday,Evening,2,2,2
Wednesday,Night,3,0,2
Wednesday,Morning,0,2,0
Wednesday,Evening,3,0,0
Thursday,Night,1,0,3
Thursday,Morning,3,3,0
Thursday,Evening,2,3,3
Friday,Night,1,3,0
Friday,Morning,1,3,1
Friday,Evening,1,1,1
Saturday,Night,0,3,2
Saturday,Morning,2,3,0
Saturday,Evening,1,3,1
Sunday,Night,3,3,0
Sunday,Morning,3,3,1
Sunday,Evening,0,3,3
Next Monday,Night,1,3,1
Next Monday,Morning,0,3,0
Next Monday,Evening,1,2,3
Next Tuesday,Night,0,0,1
Next Tuesday,Morning,3,1,0
Next Tuesday,Evening,3,2,0
Next Wednesday,Night,0,2,2
Next Wednesday,Morning,2,1,1
Next Wednesday,Evening,2,0,1
Next Thursday,Night,3,2,0
Next Thursday,Morning,1,2,3
Next Thursday,Evening,3,3,2
Next Friday,Night,0,3,2
Next Friday,Morning,0,1,2
Next Friday,Evening,2,3,3
Next Saturday,Night,0,3,0
Next Saturday,Morning,3,1,1
Next Saturday,Evening,2,2,3
Next Sunday,Night,1,1,1
Next Sunday,Morning,0,2,0
Next Sunday,Evening,0,2,1
