Sprint Day,Shift,Nurse,Doctor,Admin
Monday,Night,2,3,3
Monday,Morning,3,2,1
Monday,Evening,3,1,2
Tuesday,Night,1,2,0
Tuesday,Morning,0,1,1
Tuesday,Evening,1,0,2
Wednesday,Night,1,2,0
Wednesday,Morning,1,2,0
Wednesday,Evening,2,3,0
Thursday,Night,0,0,2
Thursday,Morning,2,0,3
Thursday,Evening,1,0,1
Friday,Night,1,0,0
Friday,Morning,0,1,2
Friday,Evening,3,1,0
Saturday,Night,2,3,1
Saturday,Morning,1,0,2
Saturday,Evening,3,1,0
Sunday,Night,2,1,0
Sunday,Morning,1,3,2
Sunday,Evening,0,3,2
Next Monday,Night,1,1,0
Next Monday,Morning,0,3,1
Next Monday,Evening,2,3,1
Next Tuesday,Night,1,3,2
Next Tuesday,Morning,1,0,1
Next Tuesday,Evening,2,2,1
Next Wednesday,Night,3,2,2
Next Wednesday,Morning,3,3,2
Next Wednesday,Evening,3,1,2
Next Thursday,Night,0,0,2
Next Thursday,Morning,2,3,0
Next Thursday,Evening,0,3,0
Next Friday,Night,3,0,2
Next Friday,Morning,1,1,0
Next Friday,Evening,1,2,2
Next Saturday,Night,3,0,3
Next Saturday,Morning,1,3,1
Next Saturday,Evening,3,3,3
Next Sunday,Night,2,2,2
Next Sunday,Morning,2,1,0
Next Sunday,Evening,1,0,1
