Sprint Day,Shift,Nurse,Doctor,Admin
Monday,Night,0,2,0
Monday,Morning,1,0,2
Monday,Evening,1,0,3
Tuesday,Night,1,2,3
Tuesday,Morning,1,2,3
Tuesday,Evening,1,3,2
Wednesday,Night,2,3,0
Wednesday,Morning,3,3,1
Wednesday,Evening,0,0,0
Thursday,Night,1,2,2
Thursday,Morning,3,3,1
Thursday,Evening,1,1,3
Friday,Night,3,1,3
Friday,Morning,0,3,2
Friday,Evening,2,2,1
Saturday,Night,1,2,3
Saturday,Morning,3,3,2
Saturday,Evening,3,0,1
Sunday,Night,2,1,2
Sunday,Morning,2,0,0
Sunday,Evening,3,0,3
Next Monday,Night,3,0,0
Next Monday,Morning,2,2,0
Next Monday,Evening,3,1,1
Next Tuesday,Night,2,0,3
Next Tuesday,Morning,0,0,2
Next Tuesday,Evening,2,2,0
Next Wednesday,Night,3,3,3
Next Wednesday,Morning,3,3,2
Next Wednesday,Evening,2,2,2
Next Thursday,Night,0,2,0
Next Thursday,Morning,0,0,3
Next Thursday,Evening,2,1,2
Next Friday,Night,1,0,1
Next Friday,Morning,0,1,3
Next Friday,Evening,1,1,2
Next Saturday,Night,3,0,0
Next Saturday,Morning,2,0,2
Next Saturday,Evening,2,1,0
Next Sunday,Night,2,2,1
Next Sunday,Morning,1,2,1
Next Sunday,Evening,0,1,1
