Sprint Day,Shift,Nurse,Doctor,Admin
Monday,Night,3,3,1
Monday,Morning,3,0,1
Monday,Evening,2,0,0
Tuesday,Night,2,2,2
Tuesday,Morning,2,3,3
Tuesday,Evening,0,1,2
Wednesday,Night,0,2,1
Wednesday,Morning,0,2,3
Wednesday,Evening,0,0,3
Thursday,Night,1,1,1
Thursday,Morning,0,3,2
Thursday,Evening,1,1,2
Friday,Night,2,1,0
Friday,Morning,1,0,0
Friday,Evening,2,0,0
Saturday,Night,0,2,3
Saturday,Morning,1,0,0
Saturday,Evening,0,1,1
Sunday,Night,0,1,2
Sunday,Morning,1,1,2
Sunday,Evening,3,0,1
Next Monday,Night,0,3,0
Next Monday,Morning,2,0,1
Next Monday,Evening,2,1,3
Next Tuesday,Night,1,1,0
Next Tuesday,Morning,0,3,3
Next Tuesday,Evening,2,2,2
Next Wednesday,Night,1,3,1
Next Wednesday,Morning,3,1,1
Next Wednesday,Evening,2,3,0
Next Thursday,Night,0,2,2
Next Thursday,Morning,2,1,3
Next Thursday,Evening,3,0,3
Next Friday,Night,3,3,0
Next Friday,Morning,3,0,2
Next Friday,Evening,3,1,2
Next Saturday,Night,0,0,1
Next Saturday,Morning,1,1,2
Next Saturday,Evening,1,0,3
Next Sunday,Night,3,2,3
Next Sunday,Morning,1,2,3
Next Sunday,Evening,3,1,3
