Sprint Day,Shift,Nurse,Doctor,Admin
Monday,Night,3,4,4
Monday,Morning,1,3,3
Monday,Evening,1,2,0
Tuesday,Night,4,2,0
Tuesday,Morning,1,1,3
Tuesday,Evening,2,2,1
Wednesday,Night,3,1,0
Wednesday,Morning,4,2,0
Wednesday,Evening,2,0,3
Thursday,Night,3,1,0
Thursday,Morning,3,0,4
Thursday,Evening,0,4,1
Friday,Night,3,2,2
Friday,Morning,1,4,1
Friday,Evening,4,3,4
Saturday,Night,4,3,4
Saturday,Morning,2,3,2
Saturday,Evening,0,1,0
Sunday,Night,1,1,3
Sunday,Morning,4,4,3
Sunday,Evening,2,0,1
Next Monday,Night,0,0,3
Next Monday,Morning,1,2,3
Next Monday,Evening,3,2,0
Next Tuesday,Night,4,3,4
Next Tuesday,Morning,0,1,4
Next Tuesday,Evening,1,3,1
Next Wednesday,Night,3,0,3
Next Wednesday,Morning,3,3,1
Next Wednesday,Evening,2,1,3
Next Thursday,Night,4,2,4
Next Thursday,Morning,4,2,3
Next Thursday,Evening,0,2,3
Next Friday,Night,0,0,3
Next Friday,Morning,0,3,1
Next Friday,Evening,1,0,1
Next Saturday,Night,1,0,0
Next Saturday,Morning,4,4,0
Next Saturday,Evening,2,4,4
Next Sunday,Night,1,0,3
Next Sunday,Morning,3,1,2
Next Sunday,Evening,1,1,4
