Sprint Day,Shift,Nurse,Doctor,Admin
Monday,Night,1,3,0
Monday,Morning,4,2,0
Monday,Evening,3,4,1
Tuesday,Night,4,0,2
Tuesday,Morning,4,2,2
Tuesday,Evening,1,4,0
Wednesday,Night,1,3,4
Wednesday,Morning,2,4,1
Wednesday,Evening,1,4,0
Thursday,Night,1,2,3
Thursday,Morning,3,1,4
Thursday,Evening,3,2,3
Friday,Night,2,2,2
Friday,Morning,0,1,0
Friday,Evening,1,1,3
Saturday,Night,1,1,3
Saturday,Morning,2,3,3
Saturday,Evening,3,0,1
Sunday,Night,0,1,0
Sunday,Morning,4,1,2
Sunday,Evening,3,0,2
Next Monday,Night,4,1,2
Next Monday,Morning,0,2,3
Next Monday,Evening,2,3,0
Next Tuesday,Night,1,2,3
Next Tuesday,Morning,0,1,3
Next Tuesday,Evening,4,2,1
Next Wednesday,Night,3,0,4
Next Wednesday,Morning,3,4,4
Next Wednesday,Evening,0,0,1
Next Thursday,Night,0,1,4
Next Thursday,Morning,1,2,4
Next Thursday,Evening,3,1,4
Next Friday,Night,4,4,3
Next Friday,Morning,0,3,2
Next Friday,Evening,1,3,3
Next Saturday,Night,3,1,4
Next Saturday,Morning,1,3,2
Next Saturday,Evening,1,0,1
Next Sunday,Night,4,2,0
Next Sunday,Morning,0,1,3
Next Sunday,Evening,2,4,2
