Sprint Day,Shift,Nurse,Doctor,Admin
Monday,Night,0,0,1
Monday,Morning,0,0,0
Monday,Evening,1,0,0
Tuesday,Night,1,1,0
Tuesday,Morning,0,1,0
Tuesday,Evening,0,0,0
Wednesday,Night,1,0,0
Wednesday,Morning,0,1,1
Wednesday,Evening,1,0,1
Thursday,Night,0,1,1
Thursday,Morning,0,1,0
Thursday,Evening,0,1,0
Friday,Night,1,0,0
Friday,Morning,0,0,1
Friday,Evening,0,0,1
Saturday,Night,0,1,1
Saturday,Morning,1,0,0
Saturday,Evening,1,0,0
Sunday,Night,1,1,0
Sunday,Morning,1,1,1
Sunday,Evening,0,0,0
Next Monday,Night,0,0,1
Next Monday,Morning,1,1,1
Next Monday,Evening,0,0,0
Next Tuesday,Night,1,1,1
Next Tuesday,Morning,1,1,0
Next Tuesday,Evening,1,1,0
Next Wednesday,Night,1,0,0
Next Wednesday,Morning,0,0,0
Next Wednesday,Evening,1,0,1
Next Thursday,Night,1,1,1
Next Thursday,Morning,0,1,1
Next Thursday,Evening,1,1,1
Next Friday,Night,1,0,1
Next Friday,Morning,0,1,1
Next Friday,Evening,1,1,1
Next Saturday,Night,1,1,1
Next Saturday,Morning,0,1,1
Next Saturday,Evening,0,1,1
Next Sunday,Night,0,0,0
Next Sunday,Morning,0,1,0
Next Sunday,Evening,1,0,0
